"sid","Name","HasLaterality"
"1492","Reduction mammoplasty, bilateral ",NULL
"1493","Blood culture ",NULL
"1494","Bone conduction pure tone audiometry, manual ",NULL
"1495","Basophil challenge test ",NULL
"1496","British corrected ratio measurement ",NULL
"1497","Breakpoint cluster region analysis ",NULL
"1498","B-cell leukemia lymphoma 2 gene rearrangement analysis ",NULL
"1499","Detection of BCR-ABL translocation ",NULL
"1500","Quantitation of BCR-ABL translocation ",NULL
"1501","Initial prescription of oral contraception ",NULL
"1502","Excision of basal cell carcinoma ",NULL
"1503","Excisional biopsy of basal cell carcinoma ",NULL
"1504","Instillation of BCG into the bladder ",NULL
"1505","Assessment using Boston Diagnostic Aphasia Examination ",NULL
"1506","Assessment using Beck Depression Inventory II ",NULL
"1507","Balloon dilation of prostate ",NULL
"1508","Application of below elbow plaster cast ",NULL
"1509","Cocaine measurement ",NULL
"1510","Benzidine measurement ",NULL
"1511","Bendiocarb measurement ",NULL
"1512","Benzonatate measurement ",NULL
"1513","Benzthiazide measurement ",NULL
"1514","Benzfetamine measurement ",NULL
"1515","Benzophenone measurement ",NULL
"1516","Amputation of forearm through radius AND ulna ",NULL
"1517","Removal of Gentamicin beads from bone ",NULL
"1518","Insertion of Gentamicin beads into bone ",NULL
"1519","Allotransplantation of kidney from beating heart cadaver ",NULL
"1520","White bean RAST ",NULL
"1521","Allotransplantation of kidney from non-beating heart cadaver ",NULL
"1522","Green bean RAST ",NULL
"1523","X-ray beam therapy ",NULL
"1524","External beam radiation therapy procedure ",NULL
"1525","Castor bean RAST ",NULL
"1526","Epicardial poudrage ",NULL
"1527","Quarantine ",NULL
"1528","Active or passive immunization ",NULL
"1529","Assessment using Beck depression inventory ",NULL
"1530","Assessment using Beck Anxiety Inventory ",NULL
"1531","Aorta-coronary sinus shunt ",NULL
"1532","Assessment using Beck Hopelessness Scale ",NULL
"1533","Assessment using Beck Scale for Suicide Ideation ",NULL
"1534","Beck-Jianu operation, permanent gastrostomy ",NULL
"1535","Control of bedbugs ",NULL
"1536","Using light bedlinen ",NULL
"1537","Bed rest care assessment ",NULL
"1538","Placing bedrails ",NULL
"1539","Bedside testing ",NULL
"1540","Bed rest care management ",NULL
"1541","Bed rest care education ",NULL
"1542","Provision of bedtime routine ",NULL
"1543","Assessment using the Brief Esophageal Dysphagia Questionnaire ",NULL
"1544","Bedtime blood glucose measurement ",NULL
"1545","Beetroot RAST ",NULL
"1546","Beef RAST ",NULL
"1547","Sugar beet (pollen) RAST ",NULL
"1548","Sugar beet (seed) RAST ",NULL
"1549","Measurement of Fagus sylvatica specific immunoglobulin E antibody ",NULL
"1550","Bee venom IgG measurement ",NULL
"1551","Berlin beetle RAST ",NULL
"1552","Honey bee venom RAST ",NULL
"1553","Honey bee venom IgG RAST ",NULL
"1554","Screening of infant prior to discharge ",NULL
"1555","Hospital admission, infant, for observation, delivered outside of hospital ",NULL
"1556","Vacuum delivery before full dilation of cervix ",NULL
"1557","Identification of abnormal body part before perioperative positioning ",NULL
"1558","Confirming patient identity before operative/invasive procedure ",NULL
"1559","Behavioral counseling ",NULL
"1560","Behavior assessment ",NULL
"1561","Functional behavioral assessment ",NULL
"1562","Baseline behavioral assessment ",NULL
"1563","Continuous behavioral assessment ",NULL
"1564","Consultation ",NULL
"1565","Global behavioral assessment ",NULL
"1566","Behavior care assessment ",NULL
"1567","Analog behavioral assessment ",NULL
"1568","Psychological well-being education ",NULL
"1569","Assessment of fear about being a burden to others ",NULL
"1570","Assessment using Warwick-Edinburgh Mental Well-being Scale ",NULL
"1571","Assessment using Short Warwick-Edinburgh Mental Well-being Scale ",NULL
"1572","Bekesy audiometry ",NULL
"1573","Belimumab therapy ",NULL
"1574","Belsey operation, esophagogastric sphincter ",NULL
"1575","Application of abdominal corset ",NULL
"1576","Collis-Belsey procedure ",NULL
"1577","Isospora belli detection ",NULL
"1578","Assessment of spiritual belief ",NULL
"1579","Assessment of cultural beliefs ",NULL
"1580","Amputation of leg through tibia and fibula ","1"
"1581","Protection of religious belief ",NULL
"1582","Amputation of left forearm through radius and ulna ",NULL
"1583","Benzylhydrazine measurement ",NULL
"1584","Benzoylcarnitine measurement ",NULL
"1585","N-Benzoyl-L-tyrosyl-p-aminobenzoic acid test ",NULL
"1586","Repair of blepharoptosis by resection or advancement of levator muscle or aponeurosis ",NULL
"1587","Esophagus acid perfusion test (Bernstein) ",NULL
"1588","Berg balance test ",NULL
"1589","Bermuda grass RAST ",NULL
"1590","Beryllium measurement ",NULL
"1591","Bereavement counseling ",NULL
"1592","Methylene violet stain (Bernthsen) method ",NULL
"1593","Bereavement support assessment ",NULL
"1594","Bereavement support education ",NULL
"1595","Provision of custom made shoes ",NULL
"1596","Assessment using Modified Balance Error Scoring System ",NULL
"1597","Provision of foot orthosis - custom-made with leather uppers ",NULL
"1598","Positive end expiratory pressure increased to best PEEP ",NULL
"1599","Positive end expiratory pressure reduced to best PEEP ",NULL
"1600","Tinnitus loudness match to frequency of best hearing threshold ",NULL
"1601","Assessment using Bedside Evaluation Screening Test Second Edition ",NULL
"1602","Bethanechol measurement ",NULL
"1603","Measurement of betamethasone ",NULL
"1604","Betatron external beam radiation therapy ",NULL
"1605","Betatron X-ray therapy ",NULL
"1606","Betatron photon therapy ",NULL
"1607","Anti-beta2 glycoprotein 1 antibody level ",NULL
"1608","Intramuscular injection of betamethasone ",NULL
"1609","Betatron electron therapy ",NULL
"1610","External beam radiation therapy using electrons ",NULL
"1611","Phoma betae RAST ",NULL
"1612","Galactose screening test for galactosemia ",NULL
"1613","Bevan orchidopexy ",NULL
"1614","Repair of aneurysm with insertion of fenestrated branched endovascular stent graft ",NULL
"1615","Culture identification method, required beyond primary method ",NULL
"1616","Endoscopic electrohydraulic lithotripsy of bezoar in stomach ",NULL
"1617","Endoscopic electrohydraulic lithotripsy of duodenal bezoar ",NULL
"1618","Burst forming unit-erythroid assay ",NULL
"1619","Blood gas measurement ",NULL
"1620","Blood group typing ",NULL
"1621","Blood gas analysis ",NULL
"1622","Bg^a^ blood group typing ",NULL
"1623","Bg^a^ blood group antibody identification ",NULL
"1624","Blalock Hanlon operation ",NULL
"1625","Distal subtotal gastrectomy ",NULL
"1626","Buccal infiltration of local anesthetic ",NULL
"1627","Biopsy ",NULL
"1628","Bioassay ",NULL
"1629","Bioptics ",NULL
"1630","Bisection ",NULL
"1631","Bifurcation ",NULL
"1632","Binocular indirect ophthalmoscopy ",NULL
"1633","Bilateral salpingectomy with oophorectomy ",NULL
"1634","Spinal cordotomy ",NULL
"1635","Fluoroscopy guided intradiscal biacuplasty ",NULL
"1636","Assessment using Computerized Assessment of Response Bias ",NULL
"1637","Upper limb tension test with radial nerve bias ",NULL
"1638","Upper limb tension test with ulnar nerve bias ",NULL
"1639","Upper limb tension test with median nerve bias ",NULL
"1640","Bicuspidization of heart valve ",NULL
"1641","Bicarbonate measurement ",NULL
"1642","Bicuspidization of aortic valve ",NULL
"1643","Bicuspidization of mitral valve ",NULL
"1644","Bicuspidization of tricuspid valve ",NULL
"1645","Bicoronal browlift ",NULL
"1646","Blood bicarbonate measurement ",NULL
"1647","Urine bicarbonate measurement ",NULL
"1648","Serum bicarbonate measurement ",NULL
"1649","Plasma bicarbonate measurement ",NULL
"1650","Use of bidet education ",NULL
"1651","Assistance with use of bidet ",NULL
"1652","Bidirectional superior cavopulmonary anastomosis ",NULL
"1653","Bidirectional continuous wave ultrasonic Doppler ",NULL
"1654","Bidirectional pulsed wave ultrasonic Doppler ",NULL
"1655","Optokinetic nystagmus test, bidirectional, with recording ",NULL
"1656","Bidirectional Glenn shunt procedure of left superior vena cava ",NULL
"1657","Bidirectional Glenn shunt procedure of right superior vena cava ",NULL
"1658","Bilateral bidirectional superior cavopulmonary anastomoses ",NULL
"1659","Bielschowsky stain method ",NULL
"1660","Local anesthetic intravenous regional block ",NULL
"1661","Local anesthetic intravenous regional block of leg ",NULL
"1662","Local anesthetic intravenous regional block of arm ",NULL
"1663","Biebrich scarlet stain method ",NULL
"1664","Mastopexy central pedicle technique ",NULL
"1665","Reduction mammoplasty central pedicle technique ",NULL
"1666","Insertion of biethium bean beneath the bladder neck ",NULL
"1667","Biesenberger left reduction mammoplasty ",NULL
"1668","Biesenberger right reduction mammoplasty ",NULL
"1669","Bifemoral bypass graft with vein ",NULL
"1670","Bifidobacterium species culture ",NULL
"1671","Bifurcation of bone ",NULL
"1672","Fitting of spectacles, bifocal ",NULL
"1673","Monaural bifrequency loudness balance test ",NULL
"1674","Repair of bifid finger ",NULL
"1675","Repair of bifid digit of hand ",NULL
"1676","Repair of spina bifida ",NULL
"1677","Bigelow operation, litholapaxy ",NULL
"1678","Thromboplastin generation test, Biggs-Douglas ",NULL
"1679","Examination of hallux ",NULL
"1680","Corticotropin, big fragment measurement ",NULL
"1681","Bilobectomy of lung ",NULL
"1682","Bilirubin measurement ",NULL
"1683","Biliopancreatic bypass to ileum with partial gastrectomy ",NULL
"1684","Bilirubin, total measurement ",NULL
"1685","Bilirubin measurement, urine ",NULL
"1686","Operation on biliary tract ",NULL
"1687","Bile measurement ",NULL
"1688","Bilirubin concentration, test strip measurement ",NULL
"1689","Bilevel positive airway pressure titration ",NULL
"1690","Bimanual examination ",NULL
"1691","Osteotomy and advancement of mandible and maxilla ",NULL
"1692","Bimanual palpation ",NULL
"1693","Bimanual phacoemulsification ",NULL
"1694","Bimanual uterine massage ",NULL
"1695","Bimanual phacoemulsification of lens with intraocular lens implantation ",NULL
"1696","Bimanual phacoemulsification of cataract with intraocular lens implantation ",NULL
"1697","Manual reduction of closed bimalleolar fracture of ankle ",NULL
"1698","Bimanual microincisional phacoemulsification of cataract with intraocular lens implantation ",NULL
"1699","Open reduction of bimalleolar fracture of lateral and medial malleoli with internal fixation ",NULL
"1700","Application of breast binder ",NULL
"1701","Application of pressure binder ",NULL
"1702","Spiral binding ",NULL
"1703","Binnie operation, hepatopexy ",NULL
"1704","Intelligence test/S-B ",NULL
"1705","Binocular vision test ",NULL
"1706","Placing plastic bindings for legal restraint ",NULL
"1707","Binocular perimetry ",NULL
"1708","Bacterial biotyping ",NULL
"1709","Biopterin measurement ",NULL
"1710","Bioengineered graft of skin to skin ",NULL
"1711","Biomedical equipment procedure ",NULL
"1712","Biotinidase measurement ",NULL
"1713","Ultrasound biomicroscopy ",NULL
"1714","Bisphosphonate prophylaxis ",NULL
"1715","Biperiden measurement ",NULL
"1716","Bipedicled sensory flap ",NULL
"1717","Correction of hypertelorism with orbital osteotomies and facial bipartition ",NULL
"1718","Biplane angiography of abdominal aorta with placement of catheter and bilateral angiography of extremities ",NULL
"1719","Repair of cleft hard palate with bipedicled flaps ",NULL
"1720","Mastopexy vertical bipedicle technique ",NULL
"1721","Delivery procedure ",NULL
"1722","Common silver birch RAST ",NULL
"1723","Excision of birthmark of head or neck ",NULL
"1724","Bird respiratory therapy ",NULL
"1725","Assessment using Birmingham Vasculitis Activity Score ",NULL
"1726","Common silver birch IgG RAST ",NULL
"1727","Assessment using Birmingham Object Recognition Battery ",NULL
"1728","Child examination - birth ",NULL
"1729","Notification of birth ",NULL
"1730","Water birth delivery ",NULL
"1731","Central bisegmentectomy of liver ",NULL
"1732","Bisoprolol therapy ",NULL
"1733","Administration of bisoprolol ",NULL
"1734","Bischoff operation, ureteroneocystostomy ",NULL
"1735","Bisphosphonate therapy ",NULL
"1736","Bisection of left ovary ",NULL
"1737","Bisection of right ovary ",NULL
"1738","Laparoscopic central bisegmentectomy of liver ",NULL
"1739","Dental X-ray bitewing ",NULL
"1740","Electrocoagulation ",NULL
"1741","Assessment using Behavioral Inattention Test ",NULL
"1742","Record occlusal registration ",NULL
"1743","Making of bite block for radiotherapy ",NULL
"1744","Fit bite raising appliance ",NULL
"1745","Removal of night mouth guard ",NULL
"1746","Removal of sports mouth guard ",NULL
"1747","Insertion of night mouth guard ",NULL
"1748","Insertion of sports mouth guard ",NULL
"1749","Bivalving of cast ",NULL
"1750","Implantation of biventricular assist device ",NULL
"1751","Examination of vagina using Cusco bivalve speculum ",NULL
"1752","Insertion of biventricular implantable cardioverter defibrillator ",NULL
"1753","Repair of biventricular atrioventricular connection ",NULL
"1754","Implantation of biventricular cardiac pacemaker system ",NULL
"1755","Biventricular repair of hypoplastic left heart syndrome ",NULL
"1756","Implantation of intravenous biventricular cardiac pacemaker system ",NULL
"1757","Insertion of cardiac biventricular implantable cardioverter defibrillator (ICD) using fluoroscopic guidance ",NULL
"1758","Replacement of cardiac biventricular implantable cardioverter defibrillator ",NULL
"1759","Bjork-Shiley prosthetic replacement of mitral valve ",NULL
"1760","Bjerrum screen plot ",NULL
"1761","Femorodistal bypass ",NULL
"1762","Blepharectomy ",NULL
"1763","Blepharoplasty ",NULL
"1764","Blepharorrhaphy ",NULL
"1765","Incision of eyelid ",NULL
"1766","Basic life support ",NULL
"1767","Bronchoscopic lung volume reduction ",NULL
"1768","Balanced ligamentous tension technique ",NULL
"1769","Bloodworm RAST ",NULL
"1770","Blueberry RAST ",NULL
"1771","Blackberry RAST ",NULL
"1772","Perineal flap two stage urethroplasty ",NULL
"1773","Balloon tamponade of esophagus using Sengstaken-Blakemore tube ",NULL
"1774","Meatoplasty of urethra ",NULL
"1775","Lymphocyte transformation, spontaneous blastogenesis ",NULL
"1776","Blastomyces antibody level ",NULL
"1777","Procedure on bladder ",NULL
"1778","Bladder excision ",NULL
"1779","Repair of bladder ",NULL
"1780","Reopening of blepharorrhaphy ",NULL
"1781","Skin blemish removal ",NULL
"1782","Assessment using hypertension, abnormal renal/liver function, stroke, bleeding history or predisposition, labile international normalized ratio, elderly over 65, and drugs/alcohol concomitantly score ",NULL
"1783","Bleaching of discolored tooth ",NULL
"1784","Blepharotomy with drainage of abscess of eyelid ",NULL
"1785","Mallory bleach stain method ",NULL
"1786","Orbicularis oculi reflex test ",NULL
"1787","Aspiration of blister ",NULL
"1788","Drainage of blister ",NULL
"1789","Blind biopsy of breast ",NULL
"1790","Blind registration ",NULL
"1791","Blind nasal intubation ",NULL
"1792","Blindness certification ",NULL
"1793","Oropharyngeal blind suction ",NULL
"1794","Blind bronchoalveolar lavage ",NULL
"1795","Lead dog for the blind training ",NULL
"1796","Femoral shortening with blade plate ",NULL
"1797","En bloc osteotomy ",NULL
"1798","Regional anesthesia ",NULL
"1799","Local anesthetic nerve block in lower limb ",NULL
"1800","Local anesthetic nerve block in upper limb ",NULL
"1801","Fracture infiltration with local anesthetic ",NULL
"1802","Local anesthetic nerve block in cervical region ",NULL
"1803","Bone block procedure ",NULL
"1804","Local anesthetic wrist block ",NULL
"1805","Bluetongue virus detection ",NULL
"1806","Measurement of Bluetongue virus antibody ",NULL
"1807","Bluetongue virus antigen assay ",NULL
"1808","Bluetongue virus RNA assay ",NULL
"1809","Bluetongue virus serotype determination ",NULL
"1810","Methyl blue stain method ",NULL
"1811","Night blue stain method ",NULL
"1812","Nile blue stain method ",NULL
"1813","Methylene blue test ",NULL
"1814","Masking level difference test ",NULL
"1815","Transplantation of bone marrow ",NULL
"1816","Operation on bone marrow ",NULL
"1817","Autologous bone marrow transplant ",NULL
"1818","Allogeneic bone marrow transplantation ",NULL
"1819","Aspiration of bone marrow from donor for transplant ",NULL
"1820","BM stix glucose measurement ",NULL
"1821","Bilateral medial rectus recession ",NULL
"1822","Myringotomy and insertion of tympanic ventilation tube ",NULL
"1823","Balanced membranous tension ",NULL
"1824","Myringotomy and insertion of T tube ",NULL
"1825","Myringotomy and insertion of long-term ventilation tube ",NULL
"1826","Myringotomy and insertion of short-term tympanic ventilation tube ",NULL
"1827","Urethral electric conductance test ",NULL
"1828","Transurethral incision of male bladder neck ",NULL
"1829","Bougienage ",NULL
"1830","Bowstring test ",NULL
"1831","Behavioral observation audiometry ",NULL
"1832","Boldenone measurement ",NULL
"1833","Bolasterone measurement ",NULL
"1834","Iridotasis ",NULL
"1835","Plantar dissection ",NULL
"1836","Bombesin measurement ",NULL
"1837","Boost radiation therapy ",NULL
"1838","Bounce home test ",NULL
"1839","Ureteroneocystostomy with bladder flap ",NULL
"1840","First boarded out child examination ",NULL
"1841","Hospital admission, boarder, for social reasons ",NULL
"1842","Provision of work board ",NULL
"1843","Boarding out medical examination ",NULL
"1844","Immobilization using long board ",NULL
"1845","Patient discharge, deceased, to anatomic board ",NULL
"1846","Body claimed by anatomic board ",NULL
"1847","Cholelithotomy ",NULL
"1848","Polymerase chain reaction test for human Bocavirus ",NULL
"1849","Bodian stain method ",NULL
"1850","Bodily support ",NULL
"1851","Body measurement ",NULL
"1852","Lamellar bodies count ",NULL
"1853","Removal of foreign body ",NULL
"1854","Procedure on body region ",NULL
"1855","Procedure on body system ",NULL
"1856","Examination of body system ",NULL
"1857","Examination of body site ",NULL
"1858","Procedure on aortic body ",NULL
"1859","Assessment using Boehm 3 Preschool ",NULL
"1860","Anterior gastropexy ",NULL
"1861","Boerema repair of hiatus hernia ",NULL
"1862","Milk, boiled RAST ",NULL
"1863","Incision and drainage of furuncle ",NULL
"1864","Incision of boil of skin ",NULL
"1865","Drainage of boil of skin ",NULL
"1866","Incision of boil of skin of head or neck ",NULL
"1867","Drainage of boil of skin of head or neck ",NULL
"1868","Drainage of hematoma of pinna and insertion of bolster sutures ",NULL
"1869","Administration of intravenous fluid bolus ",NULL
"1870","Bolus design and fabrication ",NULL
"1871","Disimpaction of food bolus from esophageal tube ",NULL
"1872","Bombesin stimulation test ",NULL
"1873","Bombay blood group typing ",NULL
"1874","Bombay blood group antibody identification ",NULL
"1875","Iridotomy by stab incision with transfixion for iris bombé ",NULL
"1876","Bumblebee RAST ",NULL
"1877","Moth RAST ",NULL
"1878","Silkworm RAST ",NULL
"1879","Bladder neck elevation test ",NULL
"1880","Placement of orthodontic bracket ",NULL
"1881","Bonding encouragement ",NULL
"1882","Bonding case management ",NULL
"1883","Procedure on skeletal system ",NULL
"1884","Bone graft ",NULL
"1885","Excision of bone ",NULL
"1886","Osteoplasty ",NULL
"1887","Bonding education, guidance, and counseling ",NULL
"1888","Biopsy of bone ",NULL
"1889","Boot traction ",NULL
"1890","Dating/booking US scan ",NULL
"1891","Assessment using Boone Voice Program for Children ",NULL
"1892","Booster vaccination ",NULL
"1893","Antenatal booking examination ",NULL
"1894","Delivery place booking ",NULL
"1895","Strapping of Unna boot ",NULL
"1896","Provision of talking book ",NULL
"1897","Private home delivery booking ",NULL
"1898","Boron measurement ",NULL
"1899","Boric acid measurement ",NULL
"1900","Boric acid measurement, blood ",NULL
"1901","Boric acid measurement, urine ",NULL
"1902","Measurement of Bordetella species antibody ",NULL
"1903","Measurement of Borrelia species antibody ",NULL
"1904","Bordetella species culture ",NULL
"1905","Bosworth operation on lumbar spine ",NULL
"1906","Correction of spinal pseudoarthrosis ",NULL
"1907","Shelf operation, arthroplasty of hip ",NULL
"1908","Bosworth operation arthroplasty for acromioclavicular separation ",NULL
"1909","Assessment using Boston Naming Test ",NULL
"1910","Horse bot fly RAST ",NULL
"1911","Injection of botulinum toxin ",NULL
"1912","Stemphylium botryosum RAST ",NULL
"1913","Injection of botulism antitoxin ",NULL
"1914","Cauliflower RAST ",NULL
"1915","Administration of botulism antitoxin ",NULL
"1916","Infusion of botulism antitoxin ",NULL
"1917","Therapeutic injection of botulinum toxin ",NULL
"1918","Clostridium botulinum toxin assay ",NULL
"1919","Bougienage of urethra ",NULL
"1920","Bougienage of esophagus ",NULL
"1921","Esophageal self-bougienage ",NULL
"1922","Esophagoscopy and bougienage ",NULL
"1923","Bougainvillea spp. RAST ",NULL
"1924","Education of bed-bound child ",NULL
"1925","Bougienage of neck of urinary bladder ",NULL
"1926","Transcatheter therapy with bougienage ",NULL
"1927","Bovine immunoglobulin G assay ",NULL
"1928","Insulin (bovine) RAST ",NULL
"1929","Removal of thrombus of bovine graft ",NULL
"1930","Removal of embolus of bovine graft ",NULL
"1931","Insulin bovine antibody measurement ",NULL
"1932","Bovine coronavirus antigen assay ",NULL
"1933","Bovine serum albumin RAST ",NULL
"1934","Gelatin (bovine) RAST ",NULL
"1935","Bovine inner ear antigen assay ",NULL
"1936","Bovine herpesvirus 1 antigen assay ",NULL
"1937","Bowels incontinence assessment ",NULL
"1938","Bowel assessment ",NULL
"1939","Operation on intestine ",NULL
"1940","Bowel imaging ",NULL
"1941","Fixation of intestine ",NULL
"1942","Anastomosis of intestine ",NULL
"1943","Transplantation of intestine ",NULL
"1944","Fluoroscopy of bowel ",NULL
"1945","Boxing medical examination ",NULL
"1946","Box elder RAST ",NULL
"1947","Total body plethysmography ",NULL
"1948","Removal of artificial voice box ",NULL
"1949","Education about use of pill box ",NULL
"1950","Attention to artificial voice box in larynx ",NULL
"1951","Amount of trapped gas, box FRC, measurement ",NULL
"1952","Boyd operation for hip disarticulation ","1"
"1953","Measurement of Shigella boydii antibody ",NULL
"1954","Bronchial provocation test ",NULL
"1955","Hypertension screening ",NULL
"1956","Assessment using Brief Parental Self-efficacy Scale ",NULL
"1957","Assessment using Behavior Problem Checklist ",NULL
"1958","BP screening - third call ",NULL
"1959","BP screening - second call ",NULL
"1960","BP screening - first call ",NULL
"1961","BP screening - third recall ",NULL
"1962","BP screening - second recall ",NULL
"1963","BP screening - first recall ",NULL
"1964","Open repair of bronchopleural fistula ",NULL
"1965","Coronary artery bypass graft ",NULL
"1966","Coronary artery bypass grafts x 2 ",NULL
"1967","Coronary artery bypass grafts x 3 ",NULL
"1968","Coronary artery bypass grafts x 4 ",NULL
"1969","Coronary artery bypass grafts x 5 ",NULL
"1970","Aortoiliofemoral vascular bypass ",NULL
"1971","Coronary artery bypass with autogenous graft, three grafts ",NULL
"1972","Coronary artery bypass with autogenous graft, four grafts ",NULL
"1973","Anastomosis of internal mammary artery to coronary artery, double vessel ",NULL
"1974","Aorto-profunda bifurcation bypass with prosthesis ",NULL
"1975","Anti BPI antibody level ",NULL
"1976","Browlift ",NULL
"1977","Bronchoscopy ",NULL
"1978","Bronchoplasty ",NULL
"1979","Brachytherapy ",NULL
"1980","Bronchorrhaphy ",NULL
"1981","Incision of bronchus ",NULL
"1982","Bronchoscopy with brush biopsy ",NULL
"1983","Bromoform measurement ",NULL
"1984","Bradykinin measurement ",NULL
"1985","Brazilin stain method ",NULL
"1986","Cardiolysis ",NULL
"1987","Bracht maneuver ",NULL
"1988","Braille training ",NULL
"1989","Brace removal ",NULL
"1990","Education about brachycephaly ",NULL
"1991","BRCA2 mutation carrier detection test ",NULL
"1992","BRCA1 mutation carrier detection test ",NULL
"1993","Breakaway procedure ",NULL
"1994","Breathalyser test ",NULL
"1995","Stress breaker ",NULL
"1996","Post-therapy bremsstrahlung imaging ",NULL
"1997","Brown-Brenn stain method ",NULL
"1998","Bretylium measurement ",NULL
"1999","Subcutaneous excision of sweat gland tissue of axilla ",NULL
"2000","Bread barium swallow ",NULL
"2001","Assessment of breastfeeding ",NULL
"2002","Breastfeeding education ",NULL
"2003","Hydrodistension of joint ",NULL
"2004","Arthrolysis by stretching or manipulation ",NULL
"2005","Bricker's operation, ureteroileostomy ",NULL
"2006","Bristow operation for dislocation of shoulder ",NULL
"2007","Insertion of Brighton epistaxis balloon ",NULL
"2008","Brilliant yellow stain method ",NULL
"2009","Assessment using Bristol Foot Score ",NULL
"2010","Bristow-Latarjet procedure ",NULL
"2011","Brodifacoum measurement ",NULL
"2012","Bromodiphenhydramine measurement ",NULL
"2013","Brockman operation ",NULL
"2014","Bronchotracheal anastomosis ",NULL
"2015","Bridge preparation of tooth or teeth ",NULL
"2016","Bruckner test ",NULL
"2017","Brunschwig operation, temporary gastrostomy ",NULL
"2018","Brushing of teeth ",NULL
"2019","Brucellosis screening ",NULL
"2020","Endoscopic brushings of GIT ",NULL
"2021","Brush biopsy ",NULL
"2022","Electrocardiogram with exercise test using Bruce protocol ",NULL
"2023","Tooth brushing education ",NULL
"2024","Brussel sprouts RAST ",NULL
"2025","Bryant's triangle procedure ",NULL
"2026","Assessment using Bryant and Bradley Rhyming Task ",NULL
"2027","Glucose measurement, blood ",NULL
"2028","BSP clearance study ",NULL
"2029","Bilateral subcapsular orchidectomy ",NULL
"2030","Bilateral simultaneous inferior petrosal sinus sampling ",NULL
"2031","Bilateral sequential single lung transplant ",NULL
"2032","Radiolabeled sulfobromophthalein study ",NULL
"2033","Assessment using Behavioral Screening Questionnaire ",NULL
"2034","Laparoscopic bilateral salpingo-oophorectomy ",NULL
"2035","Total hysterectomy with removal of both tubes and ovaries ",NULL
"2036","Transfusion of blood product ",NULL
"2037","Botulinum toxin injection into eyelid ",NULL
"2038","Anastomosis of pulmonary-subclavian artery by Blalock-Taussig operation ",NULL
"2039","Hydrogen breath test ",NULL
"2040","House dust mite (Bt) RAST ",NULL
"2041","Radionuclide breath test ",NULL
"2042","Bilateral tubal ligation ",NULL
"2043","Reversal of vasectomy ",NULL
"2044","Tuboplasty for sterilization reversal ",NULL
"2045","Bilateral ligation and division of fallopian tubes ",NULL
"2046","Bilateral ligation and crushing of fallopian tubes ",NULL
"2047","Reversal of female sterilization ",NULL
"2048","Bursectomy ",NULL
"2049","Incision of bursa ",NULL
"2050","Excision of bunion ",NULL
"2051","Aspiration of bursa ",NULL
"2052","Butalbital measurement ",NULL
"2053","Bufotenine measurement ",NULL
"2054","Butorphanol measurement ",NULL
"2055","Burge test ",NULL
"2056","Butyrylcarnitine measurement ",NULL
"2057","Bursectomy of hand ",NULL
"2058","Insertion of gastric balloon ",NULL
"2059","Attention to gastric bubble ",NULL
"2060","Membrane stability test ",NULL
"2061","Assessment of chest drain swinging and bubbling ",NULL
"2062","Buckwheat RAST ",NULL
"2063","Scleral buckling ",NULL
"2064","Removal of scleral buckle ",NULL
"2065","Buccal smear procedure ",NULL
"2066","Scleral buckling with implant ",NULL
"2067","Overlapping of sclera for buckling ",NULL
"2068","Excision of buccal mucosa ",NULL
"2069","Biopsy of buccal mucosa ",NULL
"2070","Incision of buccal space ",NULL
"2071","Implantation of retinal attachment with buckling ",NULL
"2072","Application of neighbor strapping ",NULL
"2073","Budgie serum antibody level ",NULL
"2074","Application of neighbor strapping to finger ",NULL
"2075","Budgie fecal antibody level ",NULL
"2076","Budgerigar serum IgG level ",NULL
"2077","Budgerigar feathers specific immunoglobulin E antibody measurement ",NULL
"2078","Budgerigar serum proteins specific immunoglobulin E antibody measurement ",NULL
"2079","Budgerigar droppings specific immunoglobulin E antibody measurement ",NULL
"2080","Cage bird feather mix (budgerigar, canary, parakeet, finch) specific immunoglobulin E antibody measurement ",NULL
"2081","Buerger's test ",NULL
"2082","Assessment using Buffalo III Voice Profile ",NULL
"2083","Buffy coat smear evaluation ",NULL
"2084","Electrophoresis method with 6.3 pH buffer ",NULL
"2085","Electrophoresis method with 8.9 pH buffer ",NULL
"2086","Peripheral blood buffy coat smear interpretation ",NULL
"2087","WBC differential count, peripheral blood buffy coat smear ",NULL
"2088","Repair of vaginal wall prolapse by Buhner method ",NULL
"2089","Assessment of body build ",NULL
"2090","Dental core buildup, including any pins ",NULL
"2091","Complex relationship building ",NULL
"2092","Core build up for retainer, including any pins ",NULL
"2093","Bulge test ",NULL
"2094","Bullying counseling ",NULL
"2095","Excision of bulbourethral gland ",NULL
"2096","Bulbocavernosus reflex studies ",NULL
"2097","Incision of bulbourethral glands ",NULL
"2098","Excision of bulla of lung ",NULL
"2099","Repair of bulla of lung ",NULL
"2100","Ligation of bulla of lung ",NULL
"2101","Fit speech bulb ",NULL
"2102","Cavernostomizing of bulla of lung ",NULL
"2103","Placement of orthodontic lip bumper ",NULL
"2104","Bumetanide measurement ",NULL
"2105","Blood urea nitrogen measurement ",NULL
"2106","Excision of bunionette ",NULL
"2107","Measurement of Bunyaviridae antibody ",NULL
"2108","Correction of bunionette ",NULL
"2109","Radical bunionectomy ",NULL
